"","rownames.filtered.","expres"
"81","S100A2",6.09224554434663
"82","LGALS4",9.95735064335104
"83","COL11A1",7.90970683590219
"84","AK4P3",6.95963200401688
"85","S100P",9.39119369615376
"86","KCNN4",6.33898060945627
"87","IFI6",8.38242124012788
"88","LMO3",5.86865898347569
"89","IFI44L",7.64385664451212
"90","MMP1",8.50228287948425
"91","UGT1A8",6.78104873866888
"92","CXCL10",6.6506488312224
"93","MMP12",6.53820740784303
"94","DKK1",5.95244710894837
"95","SERPINB2",5.88883509301698
"96","VCAN",9.51208911135154
"97","VCAN",11.1648479016884
"98","COL17A1",4.65075517594894
"99","NEK2",5.22626479142579
"100","TFAP2A",5.69179790074333
"101","KCNK1",7.02912558675119
"102","KCNK1",9.27463023977395
"103","ISG20",7.30868224717235
"104","NFE2L3",6.54648233416009
"105","F5",6.73173386082086
"106","KLK6",5.73255422049732
"107","HOXB7",7.19928296200208
"108","CP",6.09041443587611
"109","MSLN",6.99654892947991
"110","MUC4",4.12805839797615
"111","GC",7.13768632772939
"112","OAS2",5.88152394537617
"113","ITGB4",8.31101473057928
"114","TFF1",10.2839422333962
"115","ITGA2",7.85067908138385
"116","GABRP",6.49093138256903
"117","SPRR1B",3.9639166295939
"118","MTMR11",7.51580131794168
"119","CRIP1",8.57484904115702
"120","AOX1",5.61117301834511
"121","AOX1",7.05244177267668
"122","KRT17",8.18911064869827
"123","HCAR2",4.61005965644604
"124","FGL1",6.84583273353439
"125","SULT1C2",6.37526540626971
"126","GAMT",6.01606741036988
"127","INPP4B",6.23592565140055
"128","MST1R",6.07278474687224
"129","HS3ST1",8.73695917760472
"130","CCL20",7.37596164314421
"131","PLAU",9.00264925747881
"132","ISG15",8.86829576425717
"133","GJB3",5.63342158943974
"134","TCN1",9.30230936247145
"135","CORO2A",6.16300709200081
"136","OAS1",7.16343233643279
"137","SLC44A4",7.80840404092804
"138","WNT2",5.98690722824054
"139","OASL",4.8361623824703
"140","BCL2A1",7.40961345346789
"141","COMP",7.24608615011278
"142","AKAP7",8.21322669982873
"143","KLK7",5.56254432801493
"144","BIK",6.87119013470472
"145","REG1B",9.8299825914443
"146","UBD",9.31326898704554
"147","CEL",10.0416332367835
"148","CTSE",10.0961359488412
"149","COL10A1",9.21241389112413
"150","KCNK3",5.39994970508257
"151","PDK4",6.60014401921551
"152","DPEP1",6.61680062142088
"153","ADAM28",7.49658093976491
"154","NMU",5.943946243674
"155","ACADL",5.1637881777114
"156","ACADL",3.92938354340263
"157","PTPRR",4.658978148119
"158","UGT1A8",6.5850268984264
"159","CPA2",9.39216058916622
"160","CST1",7.06064608633934
"161","EGF",5.16305085156838
"162","LEFTY1",6.14965132228628
"163","PTK6",6.65355491392833
"164","MIA-RAB4B",5.58406580237525
"165","CEACAM1",5.60996731520474
"166","PDIA2",6.68305487002823
"167","PNLIPRP1",7.83879464949843
"168","AQP8",5.73154732328277
"169","HOXC6",6.83521517094231
"170","SCEL",5.43113606747257
"171","IAPP",7.72622335687922
"172","UGT1A8",6.65060832898408
"173","CDH11",7.77817410393151
"174","CDH11",10.2952295913981
"175","CELP",8.66873542661315
"176","SFRP5",5.40186815951342
"177","LAMC2",6.75857857596451
"178","SERPINI2",6.94173578028034
"179","REG1CP",5.42911831633297
"180","MUC1",9.78290620370283
"181","CXCL3",7.13648293528367
"182","ITGB6",6.46686459687679
"183","ITGB6",6.03138744747543
"184","CYP2C18",5.91225174638816
"185","DMBT1",7.64388658815687
"186","NR5A2",4.78885981352272
"187","NR5A2",6.05255492533765
"188","LGALS2",7.14841744794034
"189","PPARG",6.84720873677991
"190","UGT1A8",6.36531235563922
"191","ID1",9.00262977014556
"192","KRT7",9.00549098513644
"193","TSPAN1",8.23121135023801
"194","KRT6A",4.47607239384555
"195","AGR2",11.183379194462
"196","KLF5",8.55543199524672
"197","SFN",6.16764998499799
"198","LAMB3",7.80024043660131
"199","RGS16",6.03879929101323
"200","ECM1",7.60891829481372
"201","MALL",7.67836269120815
"202","PKM",7.05681524200553
"203","ABAT",8.9373556769889
"204","CEACAM1",6.20437116418049
"205","DLK1",6.37797807410684
