	GSM414924	GSM414925	GSM414926	GSM414927	GSM414928	GSM414929	GSM414930	GSM414931	GSM414932	GSM414933	GSM414934	GSM414935	GSM414936	GSM414937	GSM414938	GSM414939	GSM414940	GSM414941	GSM414942	GSM414943	GSM414944	GSM414945	GSM414946	GSM414947	GSM414948	GSM414949	GSM414950	GSM414951	GSM414952	GSM414953	GSM414954	GSM414955	GSM414956	GSM414957	GSM414958	GSM414959	GSM414960	GSM414961	GSM414962	GSM414963	GSM414964	GSM414965	GSM414966	GSM414967	GSM414968	GSM414969	GSM414970	GSM414971	GSM414972	GSM414973	GSM414974	GSM414975
HOMER2	5.272396509	4.376429311	5.125568452	7.984133595	7.828453874	4.463360886	7.528258743	3.061776198	6.275938239	4.550285049	2.98550043	4.169123281	2.929790998	3.680324357	4.22650853	4.289096702	5.231893162	5.051372102	8.002815016	2.253989266	4.125981654	6.029011087	4.181897643	7.853621456	3.106013238	6.415319248	5.386810946	4.762348816	5.357552005	3.54225805	3.736604875	5.866660751	4.259272487	7.514911265	3.71259578	4.368768349	3.939226578	4.653633311	7.627169061	6.686500527	5.005399988	4.383358695	8.658925511	4.496973581	5.461724992	6.404460384	7.833522636	3.243364426	8.249350524	3.807354922	7.408542042	8.985557354
CP	8.118941073	7.28169825	9.490249211	3.925999419	4.332707934	6.966937979	3.415488271	9.525520809	6.854245054	11.59851781	4.043519494	5.091276694	5.540089282	7.300123725	5.450551443	6.669593751	5.693208149	5.742275748	3.521050737	3.793895883	10.87651695	7.68580002	5.055716264	3.748461233	9.084542674	5.266411766	7.236492618	5.361417467	5.854743739	4.361066489	3.389566812	4.630521963	6.405652061	3.560714954	4.468583317	6.265286858	7.581200582	5.258895755	5.933808662	4.687060688	5.561020578	6.149543909	3.215678597	11.99399979	7.423746229	6.99095486	5.813268142	3.919340082	3.827819025	3.237257771	3.61117238	3.014355293
AQP12B	5.880440648	5.648465443	3.364572432	10.23959853	10.47573343	2.173127433	10.45635442	2.46727948	4.212569339	3.218781168	3.430285273	3.399171094	2.12763328	3.196921734	2.060047384	3.313245852	2.998195503	5.059614856	11.67154107	3.196921734	2.150559677	9.458406613	2.587364991	9.83447105	3.206330648	8.169423979	6.963474124	2.344828497	6.539158811	2.472487771	4.22342255	4.358958826	2.687060688	10.28193003	3.327687364	3.333423734	3.493134922	5.332707934	6.620879611	6.253611152	4.692092375	2.319039816	10.31628153	3.22342255	3.323370069	4.422905743	6.348019909	3.447579197	11.00281502	3.384049807	9.20701432	11.17617315
NR5A2	6.344118335	6.323910438	6.3652726	9.147713722	9.286326727	4.418189948	10.88493365	4.750606505	8.323279988	4.713145902	4.089159132	3.731183242	4.475733431	4.347665656	6.635609302	5.30633516	6.142617655	6.274634403	10.97297979	5.832636888	2.952333566	9.270061673	4.583759754	10.15481811	5.891419187	8.11997861	7.824640581	5.12763328	6.971543554	3.618238656	4.186659017	6.705977902	3.925999419	9.950410089	3.559491813	3.185866545	6.930737338	5.260778432	10.5574637	7.653203362	7.100136671	3.15704371	9.62935662	7.048759312	7.632268215	7.656067274	9.118681572	2.805292456	9.143128073	4.547203025	8.58082385	10.29232163
PDK4	8.246027981	6.856736756	7.356672044	7.843607046	8.246027981	7.433794059	11.42888355	5.301221805	6.398658196	6.346602375	7.685099172	6.866660751	5.487679279	5.031218731	8.620219826	6.821455119	8.141596278	7.394891366	12.25443815	6.94602899	5.417852515	5.747118816	7.297374861	10.5574637	3.934516502	8.270528942	7.326429487	6.13401553	6.844234988	7.66106548	6.383704292	6.404460384	4.123500664	11.27029533	6.341807889	6.205157884	5.221103725	5.729280846	7.617651119	8.01346226	6.485909792	5.828326926	11.79725622	3.160274831	7.340740281	5.740387932	6.882643049	6.015470808	10.97226185	4.492494152	7.503825738	10.17367714
ALB	4.304511042	3.921245889	4.22881869	10.57553925	10.55170826	3.334854269	11.89443885	3.368768349	4.937815169	3.895302621	3.46727948	3.393690764	3.263034406	3.289834465	3.340562269	5.910732662	3.884597921	3.988230223	12.11829223	3.317593505	3.533563348	7.710806434	3.264536431	11.00211178	3.336283388	11.01402047	6.662490364	3.344828497	3.908812908	3.340562269	6.409560655	5.250203656	3.218781168	11.79279029	3.321928095	3.548436625	3.670160514	6.213930464	8.010108453	8.933985654	3.727920455	3.303050085	13.35176744	3.388189537	5.747655933	5.055282436	6.298841573	3.464668267	14.00579996	3.412781525	11.22941969	13.14593215
S100A11	12.76714991	12.63049466	13.27932039	10.29920802	10.7548875	13.19152194	9.668707738	13.20670915	11.97656412	13.22475539	10.98156728	11.9822806	12.47446646	12.78340754	10.00422047	13.18905236	11.93110683	12.74420315	9.057450272	13.73693037	12.98708633	10.13442632	12.74399286	9.847370601	12.74399286	11.93036775	12.64948074	12.22550872	12.16207657	11.61378946	13.60837034	12.5372184	12.77561028	10.59618976	13.5642686	13.01698235	12.77602172	12.47446646	12.0986901	11.3459596	13.15987134	12.82217246	8.430034319	13.76103174	11.42206477	12.61493985	11.29576893	13.13426587	7.754219433	12.76777065	11.82057788	7.869748051
PFKP	9.60936345	9.699572453	8.917968728	6.725195817	7.507001733	9.468827655	7.362820526	9.690871009	8.669593751	9.803000952	7.514911265	9.422064766	9.562242424	9.796850795	9.063664719	9.451211112	8.117902789	9.663202279	6.64038956	8.755555262	10.06339508	8.426264755	8.797012978	6.436794812	10.09671515	8.810250286	9.389093522	8.729280846	9.726558779	8.516093963	10.30606169	9.059074015	9.603255425	5.616769366	9.752213368	9.220861967	9.268658955	8.398316163	7.921245889	7.935459748	9.318090838	9.782506856	5.362469889	10.74483384	8.248402006	9.396176618	7.019034669	9.245077275	4.789729251	9.729110867	8.048214385	4.956056652
BHLHE40	7.025693274	6.951867504	7.673839056	4.580145484	4.139142019	6.99095486	5.603181229	9.081083929	6.789207575	8.764871591	4.7473874	7.085339669	7.646738698	8.146186791	4.863442934	7.867896464	5.675815931	7.937815169	5.694880193	7.89542381	8.449148645	5.016139703	6.539313931	3.830863757	8.414473836	6.696272084	7.160879862	7.48058827	7.174925683	6.760220946	8.433376793	6.958842675	7.916476644	4.496973581	7.261154673	8.17292749	8.289096702	8.297833368	5.571069998	6.203201156	7.340740281	8.286788759	5.916954279	8.982993575	6.809928866	6.859224162	5.531381461	8.667466405	3.886550147	8.763876285	6.941341105	5.56285296
SLC2A1	8.997179481	7.264911693	7.807998839	4.838951767	4.790250739	6.592905474	4.854993017	8.365010077	4.682573297	8.423746229	5.147306699	8.017365205	7.369815424	8.864186145	4.152994605	9.027905997	4.679761574	6.977279923	4.262282806	7.265849421	8.05039286	7.045486656	7.055282436	4.502712486	9.067434361	6.384740587	6.987548259	7.056366761	5.662490364	4.417515003	7.068240861	4.968551603	7.404290064	4.259272487	6.03848008	7.776762002	8.92748169	7.87282876	7.328226119	4.572283367	6.857980995	10.98726401	4.262282806	7.12722055	7.381975479	7.99095486	4.765004246	8.637349411	4.351910961	9.028458647	6.484299281	4.269781238
