"","GSM414924","GSM414925","GSM414926","GSM414927","GSM414928","GSM414929","GSM414930","GSM414931","GSM414932","GSM414933","GSM414934","GSM414935","GSM414936","GSM414937","GSM414938","GSM414939","GSM414940","GSM414941","GSM414942","GSM414943","GSM414944","GSM414945","GSM414946","GSM414947","GSM414948","GSM414949","GSM414950","GSM414951","GSM414952","GSM414953","GSM414954","GSM414955","GSM414956","GSM414957","GSM414958","GSM414959","GSM414960","GSM414961","GSM414962","GSM414963","GSM414964","GSM414965","GSM414966","GSM414967","GSM414968","GSM414969","GSM414970","GSM414971","GSM414972","GSM414973","GSM414974","GSM414975"
"ALB",4.30451104180995,3.92124588858559,4.22881869049588,10.5755392468345,10.5517082616207,3.33485426933163,11.8944388545623,3.36876834909033,4.93781516880342,3.89530262133331,3.46727948045998,3.39369076418745,3.26303440583379,3.28983446517751,3.34056226902641,5.91073266190291,3.88459792099006,3.98823022306046,12.118292233027,3.31759350462347,3.53356334821451,7.71080643369935,3.26453643099903,11.0021117764799,3.33628338786443,11.0140204703149,6.66249036391378,3.34482849699744,3.90881290773955,3.34056226902641,6.40956065498278,5.2502036564993,3.21878116778407,11.7927902943011,3.32192809488736,3.54843662469604,3.67016051412663,6.21393046372921,8.01010845347429,8.93398565445043,3.7279204545632,3.30305008468167,13.3517674439599,3.38818953715608,5.74765593293239,5.05528243550119,6.29884157311203,3.46466826700344,14.00579996351,3.41278152533848,11.2294196882304,13.1459321458205
"S100A11",12.7671499122849,12.6304946615056,13.2793203879426,10.2992080183873,10.7548875021635,13.1915219381281,9.66870773811566,13.2067091493586,11.9765641234153,13.2247553940005,10.981567281903,11.9822806045583,12.4744664641326,12.7834075421735,10.0042204663182,13.1890523621903,11.9311068330293,12.7442031511328,9.0574502721839,13.7369303716893,12.9870863293282,10.1344263202209,12.7439928610602,9.84737060090548,12.7439928610602,11.930367747439,12.6494807389686,12.225508720236,12.1620765703743,11.6137894644726,13.6083703438614,12.5372184005386,12.7756102807595,10.5961897561444,13.5642685979355,13.0169823475336,12.7760217152528,12.4744664641326,12.0986900966736,11.3459595964041,13.1598713367784,12.8221724614762,8.43003431857349,13.7610317354669,11.4220647661728,12.6149398473107,11.2957689344205,13.1342658692347,7.75421943313514,12.7677706487767,11.8205778826558,7.86974805146507
"PFKP",9.6093634503938,9.69957245328727,8.9179687275585,6.72519581722666,7.50700173276412,9.46882765523095,7.36282052553426,9.69087100929231,8.66959375118833,9.80300095171512,7.51491126486135,9.42206476617281,9.56224242422107,9.79685079526716,9.063664718714,9.45121111183233,8.11790278909403,9.66320227857954,6.64038956005495,8.75555526197214,10.0633950812885,8.4262647547021,8.79701297783614,6.43679481217509,10.0967151544885,8.81025028602818,9.38909352190447,8.7292808460274,9.72655877910498,8.51609396341718,10.3060616894283,9.05907401466356,9.60325542454685,5.6167693662935,9.75221336786514,9.22086196666754,9.26865895502767,8.3983161634002,7.92124588858559,7.93545974780529,9.31809083756842,9.78250685566339,5.36246988875021,10.7448338374995,8.24840200614343,9.3961766182344,7.01903466936434,9.24507727535967,4.78972925137577,9.72911086723005,8.04821438460804,4.9560566524124
"BHLHE40",7.02569327368077,6.9518675043269,7.67383905599044,4.58014548442338,4.13914201914569,6.99095486039699,5.60318122901386,9.08108392868763,6.78920757534734,8.76487159073609,4.74738739965272,7.08533966935737,7.64673869830785,8.14618679149074,4.86344293434804,7.86789646399265,5.67581593117227,7.93781516880342,5.69488019279919,7.89542381038297,8.44914864537544,5.01613970265525,6.53931393126741,3.83086375675176,8.41447383643093,6.69627208392586,7.16087986183931,7.48058827023386,7.17492568250068,6.76022094646651,8.43337679337504,6.95884267524324,7.91647664443772,4.49697358099828,7.26115467261557,8.17292748960384,8.28909670241999,8.29783336841106,5.57106999816771,6.20320115631661,7.34074028063018,8.28678875913321,5.91695427895322,8.98299357469431,6.80992886572143,6.8592241619782,5.53138146051631,8.66746640495737,3.88655014732434,8.76387628539072,6.9413411054853,5.56285295958392
"SLC2A1",8.99717948093762,7.26491169307446,7.80799883862303,4.83895176695194,4.79025073883523,6.59290547379686,4.854993016757,8.36501007678302,4.68257329734758,8.42374622911477,5.14730669878029,8.01736520529273,7.36981542428391,8.86418614465428,4.15299460549244,9.02790599656988,4.67976157351685,6.97727992349992,4.26228280642066,7.26584942144085,8.0503928599799,7.04548665635946,7.05528243550119,4.50271248596606,9.06743436075652,6.38474058729238,6.98754825895374,7.05636676102453,5.66249036391378,4.41751500288509,7.06824086131282,4.96855160336395,7.40429006444484,4.25927248703759,6.03848007993665,7.77676200178623,8.92748169038176,7.87282875953489,7.32822611878773,4.57228336665041,6.85798099512757,10.9872640120725,4.26228280642066,7.12722055048807,7.3819754785573,7.99095486039699,4.76500424625004,8.63734941083314,4.35191096110308,9.02845864742548,6.48429928116452,4.26978123827438
"SDC1",8.72349030214343,9.12670447284319,8.67912817974742,6.93899143877554,6.85049941375812,8.50937914891469,5.51506901403224,8.99971819610402,7.35755200461808,10.0861362250273,6.02281165091563,8.10013667128545,8.71733369945369,8.79668859446415,7.87528859822269,9.80960737378898,6.2637856138908,8.58458674995959,5.34518344718767,8.76188361236552,9.12954061806,7.75955534320631,7.85984534392145,6.18070484019556,9.19130601891869,8.70977310785294,8.73910550679375,8.55612281784117,6.98413359454098,5.94227990170576,8.53644150496738,7.32912359629157,9.18957750090512,4.2667865406949,8.70666868217975,8.20994068029019,8.90207357931074,8.03232128705788,7.40599235967584,6.84924870276441,8.51530560545172,9.53760669149529,4.5837597536395,8.47411151394241,7.64961545906341,8.48864353985378,5.72383156649532,9.24507727535967,4.47378691161437,8.31741261376487,8.43379405875492,4.43095427138573
"SDC1",8.75555526197214,8.58833986092348,8.85549144310187,6.65821148275179,7.03121873061072,8.61213130001343,6.42240121557753,9.10381232942885,8.20652601587743,9.61783475018439,6.78135971352466,8.36413465500805,8.17292748960384,8.85330955540367,8.20359271420771,10.1045987535644,6.16148463864166,8.72109918870719,5.63110428236588,8.54032180596415,9.47796059377623,7.80542144617176,7.68018368159249,6.29094040240368,9.3562318626554,8.66355810421727,8.89905475619441,8.63444806236231,8.06339508128851,6.97039353791468,9.21383328309929,8.11374216604919,9.10695545712283,6.28558716790947,9.21115824728025,9.08001802908917,9.35027622907667,8.92955431573285,8.46964181723952,7.61618123133188,8.9957671508778,9.67401567287759,5.61529857909211,9.19278595925113,8.21723071622067,9.60714534098945,6.94953493301701,10.1382718001722,5.12969515665378,9.42836017270429,9.5783726913608,5.87282875953489
"TOP2A",7.62789861587175,7.37068740680722,7.4757334309664,4.29351763041742,6.52872758153442,8.20359271420771,4.90255600534463,7.96347412397489,6.56848819678442,8.94865924556015,5.21529030565123,7.19770815795585,8.04001567884788,7.64889680647525,7.51175265376738,7.80025280637239,5.81301154860562,7.28355142317431,3.56803210477128,7.5668151540109,11.0354864512922,9.9901039638575,8.32102612859297,4.53605290024021,8.20065343636747,6.03540396994207,7.06824086131282,7.68299458368168,7.34961297182452,6.49505552836802,7.12515513132229,5.68341574703043,8.09381367340273,3.8923910259134,9.30058135979597,7.86851392389546,9.28123458464702,6.82527683005487,6.71973105674985,4.98504496225347,7.54148386405428,8.65892551149237,3.38128337250378,8.66604642940879,6.79181407116183,6.03474394932473,5.46532151358055,8.65320336203398,3.45022149589718,6.90086680798075,5.43596189543763,4.24412594328373
"TOP2A",7.10852445677817,6.53962412155905,7.16490692667569,4.52481592835751,6.39489136644259,7.83415498140132,3.94485844580754,7.64817779572482,6.06156020910797,7.76553474636298,4.99367436175059,6.69488019279919,7.60510907383293,7.19278595925112,7.26491169307446,7.06069593168755,4.29572302453997,6.82017896241519,4.46466826700344,7.1568415245884,10.5225815312548,9.27844945822048,7.31379002544369,4.35120427725799,7.67454539384587,5.46401472450489,6.74953426766926,7.09169983413681,6.877744249949,6.03672310600552,6.66533591718518,5.46532151358055,7.48058827023386,3.96624587322494,8.84297883178833,7.39403389536778,9.35469016870116,6.65391987311942,7.1261882105221,5.1333991254172,7.3037807481771,8.24887634283713,2.88947354253111,8.14210705730255,6.1606782132205,6.35983739296312,5.65019012349677,8.2881739681123,3.96993327469786,7,6.08640164588003,4.268284666521
"CLDN4",7.93014594790882,9.15886210620845,8.04875931191986,6.11873347576784,6.32084566764572,8.44749654666539,6.01010845347429,9.28678875913321,7.04766925139131,9.5730790854813,4.86145916636151,8.4797802640291,8.92243574023315,8.71115071124326,7.94544383637791,8.34207466799914,5.7771566660045,9.40854204229686,6.47248777146274,9.27146302790437,7.61544572530479,7.12515513132229,9.58044701959866,5.23764019503539,8.56414948998573,7.46923479366766,7.46923479366766,8.0703893278914,7.16591193893569,5.29682445864937,8.84297883178833,7.18388345903223,8.55305325276641,6.23859581210741,9.46719795153787,9.48723711048452,9.38909352190447,8.16992500144231,8.32237886665822,6.36317107711924,8.94807515849108,9.50143914515887,6.79441586635011,9.90448409790142,7.31379002544369,8.0746766862945,6.03298241669943,10.0126245388651,6.25228697099979,9.63934070865223,7.2278565730605,5.84574093261458
