"","rownames.upRegulated_DEGs.","expres"
"150","ID1",9.00262977014556
"151","KRT7",9.00549098513644
"152","TSPAN1",8.23121135023801
"153","KRT6A",4.47607239384555
"154","AGR2",11.183379194462
"155","KLF5",8.55543199524672
"156","SFN",6.16764998499799
"157","LAMB3",7.80024043660131
"158","RGS16",6.03879929101323
"159","ECM1",7.60891829481372
"160","MALL",7.67836269120815
"161","PKM",7.05681524200553
"162","CEACAM1",6.20437116418049
"163","SMAGP",6.98187480757056
"164","SERPINB3",4.17915346248317
"165","RRM2",6.54336218148659
"166","KLK10",6.9794617016338
"167","KRT16",5.5926648103944
"168","PHLDA2",9.33549730266075
"169","VILL",6.47607636954797
"170","FAP",7.55272458100839
"171","OLR1",6.69433291347251
"172","TPX2",5.1994277487683
"173","IGFBP3",10.5426659497699
"174","ANXA10",8.57358569343692
"175","FN1",12.5970459673856
"176","INHBA",8.30305158516236
"177","NQO1",8.79969263346689
"178","KYNU",6.53797977281234
"179","POSTN",11.4815887795397
"180","PLAUR",8.36644226324146
"181","TRIM29",6.8541360205884
"182","MGLL",7.91381082858546
"183","IL1R2",5.61384917664394
"184","SULT1C2",7.48336409566654
"185","CXCL8",7.59676063771246
"186","VCAN",9.70540395579609
"187","HOPX",9.25269019786409
"188","CEACAM6",11.4399733237397
"189","PLAU",7.29779208310425
"190","FN1",12.7673098310137
"191","PLAUR",7.93537060073793
"192","IGFBP3",8.69381362897378
"193","KRT17",8.69390794816374
"194","SULF1",8.65649771297736
"195","SULF1",10.256393139678
"196","SULF1",9.93777847085473
"197","GPRC5A",8.4483533499109
"198","FN1",12.5903052919891
"199","COL5A1",9.22911473949761
"200","COL5A1",8.74373407654052
"201","LCN2",11.1265246298987
"202","IL1RN",7.27246094183589
"203","MISP",7.30469494820111
"204","CEMIP",6.68444209167453
"205","AHNAK2",7.4735978781707
"206","LPCAT4",4.83161913753748
"207","TMEM158",6.92080680376928
"208","MUC5B",6.8292138712098
"209","KRT6B",5.73885978348545
"210","SPRR1A",3.92384227827041
"211","LRRC15",5.42659009931656
"212","FUT3",6.50186593506475
"213","CLDN18",8.07568326396421
"214","H2AC18",8.92586988329153
"215","MUC5AC",6.13285060412592
"216","MUC5AC",6.09198462246493
"217","TFF2",8.8912566986413
"218","CCNB1",6.05312185754851
"219","CXCL5",8.75425862793344
"220","TM4SF1",10.882426942246
"221","CXCL5",6.90824897310397
"222","UGT1A8",6.18132491177903
"223","TRIM31",4.09682927702779
"224","VCAN",10.312083170453
"225","FN1",12.5036403612128
"226","MUC4",5.42144885161487
"227","KYNU",7.72599752932244
"228","COL10A1",9.74562008689656
"229","S100A6",12.4752224171572
"230","JPT1",8.37908352870165
"231","FXYD5",9.11080653555499
"232","MLPH",8.21625159402921
"233","GREM1",9.26358510062859
"234","GREM1",9.94576971070731
"235","PLEK2",7.14219228735324
"236","S100A14",6.95504999387476
"237","MUC13",6.90764977591176
"238","EPS8L1",6.24351995871764
"239","FERMT1",7.81306187092351
"240","ANO1",7.43759213540927
"241","TMPRSS4",7.07637161209267
"242","KRT23",6.03188876873431
"243","SPRR3",5.53000188654094
"244","INAVA",8.94605667978083
"245","PLAC8",8.33777626432794
"246","EGLN3",5.81585058071065
"247","EPS8L3",6.51827312141778
"248","FA2H",7.28199311776506
"249","GCNT3",9.03481008779199
"250","CLIC3",6.17451848234728
"251","TMC5",8.96147432168196
"252","PDZK1IP1",8.66903148497424
"253","DUOX2",7.32265027702364
"254","NOX4",6.15521102611652
"255","ECT2",7.29227966760305
"256","SLC6A14",6.8204291542066
"257","DHRS9",7.44153051101039
"258","SLCO4A1",5.70424161502862
"259","ASPM",5.60390654736274
"260","STYK1",5.28876754826609
"261","TMPRSS3",6.33149971882962
"262","ARL14",8.12919097315815
"263","ARNTL2",5.55357569292733
"264","CLDN18",5.56850991389348
"265","CLDN18",6.3539556307867
"266","LEF1",6.8166764860026
"267","EPS8L1",5.93304694634723
"268","EPS8L1",5.90868831497049
"269","COL5A2",11.0127598713571
"270","COL5A2",10.0089009080329
"271","VCAN",11.5627537657895
"272","ACSL5",8.3550168865119
"273","ANLN",6.2216081799226
"274","MUC13",6.89537004488531
"275","EGLN3",5.58644609105384
"276","TMC5",7.31874841245761
"277","GJB2",8.49660807038844
"278","C15orf48",9.85797914143867
"279","AC011479.1",9.21229746673359
"280","SLC4A11",5.72428309109783
"281","AFAP1-AS1",5.53787367831412
"282","TMPRSS3",6.3763695894204
"283","DHRS9",6.02310319905691
"284","DHRS9",6.13179837324741
"285","ARNTL2",5.28366357376539
"286","FXYD5",8.24091475019571
"287","CDCA7",7.01229803830436
"288","MGLL",6.97543392152568
"289","AK4",7.21693973207565
"290","ABHD17C",7.56758665499511
"291","COL12A1",10.4691171341933
"292","CTHRC1",11.3007708608144
"293","ERO1A",8.91382347461962
"294","COL8A1",9.69457927877916
"295","ADAMTS2",7.81338777278142
"296","ITGB6",9.3164254625459
"297","SGPP2",7.88808000013734
"298","MBOAT2",7.5039932808139
"299","ADAM12",6.81778754550581
"300","PRR15",6.4806860291185
"301","ADAMTS12",7.03558984386072
"302","INHBA",9.98771413087636
"303","CORO2A",6.14436036479571
"304","CRACD",6.77376689378039
"305","CP",6.86417429205215
"306","ITGA2",8.97044835292859
"307","LINC00511",6.50124805360123
"308","FOXQ1",9.71525911030359
"309","NTM",8.08323974608288
"310","EPSTI1",7.30747779900549
"311","ST6GALNAC1",7.26682992591177
"312","EFNA5",6.05121943221285
"313","S100A16",9.93968588737419
"314","ZG16B",5.96054037184113
"315","VSIG2",6.41522513818738
"316","CAMK2N1",5.35539866888598
"317","PCDH7",7.81672895912246
"318","CLDN23",6.84037720499831
"319","MXD1",7.46716117184769
"320","S100A6",6.68727843055355
"321","AGR2",7.73501162850122
"322","CAPN8",6.86294561480515
"323","COL1A2",10.2682319656113
"324","COL11A1",5.87618528368763
"325","SLC9B2",5.7316020413648
"326","CCN4",7.1506022902944
"327","LEMD1",4.87550379681081
"328","TMEM45B",7.00028704036289
"329","SHISA2",6.23331270169237
"330","IGFL2",5.16400985782546
"331","MUCL3",6.56159053832232
"332","COL12A1",7.44874132132372
"333","COL12A1",6.63085938699747
"334","SCEL",4.90326875886216
"335","BLACAT1",5.16667594561116
"336","EPPK1",7.06508708772816
"337","EPPK1",6.02814648538271
"338","RUNX2",7.37427663368482
"339","CLDN18",7.03532048512691
"340","SDCBP2",7.0495574976427
"341","VSIG1",4.18314496075969
"342","LIPH",6.21839092411865
"343","PLPP4",5.99903272197041
"344","GALNT5",5.29733023766782
"345","CDH11",6.69927961958912
"346","GALNT5",5.02161638895218
"347","SDR16C5",7.50035895351559
"348","ANKRD22",7.30553235479125
"349","ULBP2",4.31328282484054
"350","SGPP2",5.52373955064077
"351","KIF26B",6.9176644730998
"352","ADGRF1",4.81468970379256
"353","ANKRD22",5.86244484364142
"354","MMP28",5.64189800931764
"355","LINC01133",6.40553967739936
"356","KLK7",6.88498731538441
"357","TMC5",7.98618853201404
"358","TMC5",9.80305377926568
"359","MUCL3",5.68744396464723
"360","XDH",5.84880946168844
"361","XAF1",5.5342445141967
"362","SLC26A9",5.87347330794624
"363","RSAD2",7.53996374783266
"364","VSIG1",6.49613078277401
"365","SFTA2",6.44851568862277
"366","SGPP2",7.67871361320518
"367","SFN",9.6723007697875
"368","SFN",8.96914293120551
"369","COL11A1",8.54637108236817
"370","PI3",6.22419284002385
"371","FERMT1",7.4251866781861
"372","EPS8L1",7.42079124667563
