"","rownames.filtered.","expres"
"157","MLLT3",2.23454337807189
"158","RNA5SP282",2.14595705967702
"159","CTSV",1.88656251616041
"160","CORO2A",2.01692900718811
"161","TNFSF15",1.9480202193871
"162","Y_RNA",0.553341953907403
"163","SLC6A14",2.0940041414573
"164","BRCC3",2.1617543427401
"165","TRIM31",2.00379740327084
"166","SLC44A4",2.7123658017053
"167","ZNRD1",2.18333784957841
"168","SLC44A4",2.7123658017053
